AS1,AS1_org_id,AS1_org_name,AS2,AS2_org_id,AS2_org_name,Total_CO2,CO2_Normalized
35360,ORG-FG108-RIPE,Frederic Gargula,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
35360,ORG-FG108-RIPE,Frederic Gargula,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
39351,ORG-SA1601-RIPE,31173 Services AB,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
41047,ORG-TMC4-RIPE,Bart Vrancken trading as MLaB,47152,ORG-FDAF2-RIPE,Francesco Ascione trading as FIBERSIX,36.6,3.37e-09
41051,ORG-OG36-RIPE,Openfactory GmbH,58280,ORG-MAS22-RIPE,Massimiliano Andrea Stucchi,36.6,3.37e-09
42357,ORG-PS412-RIPE,ProGest SA,2613,ORG-WVG2-RIPE,Willem van Gulik,36.6,3.37e-09
50869,ORG-ING13-RIPE,IPng Networks GmbH,56883,ORG-AIRM1-RIPE,Airmass 1 AB,36.6,3.37e-09
51786,ORG-PV52-RIPE,Patrick Velder,13150,ORG-CNL17-RIPE,CATO NETWORKS LTD,36.6,3.37e-09
51786,ORG-PV52-RIPE,Patrick Velder,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
51786,ORG-PV52-RIPE,Patrick Velder,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
51873,ORG-ASA44-RIPE,Arcade Solutions AG,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
51873,ORG-ASA44-RIPE,Arcade Solutions AG,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
51873,ORG-ASA44-RIPE,Arcade Solutions AG,58280,ORG-MAS22-RIPE,Massimiliano Andrea Stucchi,36.6,3.37e-09
51907,ORG-KZ15-RIPE,Kanton Zug,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
56987,ORG-AS988-RIPE,ABACLOUDA SAS,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
56987,ORG-AS988-RIPE,ABACLOUDA SAS,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
57521,ORG-SG421-RIPE,Simplysoft GmbH,60326,ORG-ML711-RIPE,MrSheepNET LTD,36.6,3.37e-09
57777,ORG-JM162-RIPE,Jeroen Massar,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
57777,ORG-JM162-RIPE,Jeroen Massar,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
58057,ORG-SA4302-RIPE,Securebit AG,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
58057,ORG-SA4302-RIPE,Securebit AG,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
58115,ORG-SIE6-RIPE,SwissIX Internet Exchange,3250,ORG-NG60-RIPE,Netskin GmbH,36.6,3.37e-09
58115,ORG-SIE6-RIPE,SwissIX Internet Exchange,12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,36.6,3.37e-09
58115,ORG-SIE6-RIPE,SwissIX Internet Exchange,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
58115,ORG-SIE6-RIPE,SwissIX Internet Exchange,24585,ORG-SR1-RIPE,Swiss Life AG,36.6,3.37e-09
58115,ORG-SIE6-RIPE,SwissIX Internet Exchange,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
58115,ORG-SIE6-RIPE,SwissIX Internet Exchange,41655,ORG-NA454-RIPE,Netcloud AG,36.6,3.37e-09
58115,ORG-SIE6-RIPE,SwissIX Internet Exchange,57210,ORG-TPA16-RIPE,thyssenkrupp Presta AG,36.6,3.37e-09
58280,ORG-MAS22-RIPE,Massimiliano Andrea Stucchi,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
58299,ORG-OG36-RIPE,Openfactory GmbH,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
58299,ORG-OG36-RIPE,Openfactory GmbH,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
59414,ORG-CA1567-RIPE,cloudscale.ch AG,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
59414,ORG-CA1567-RIPE,cloudscale.ch AG,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
59812,ORG-GG185-RIPE,Gluecklich GmbH,12307,ORG-SBTA6-RIPE,Sandro Bolliger trading as Bolliger Network Solutions,36.6,3.37e-09
59812,ORG-GG185-RIPE,Gluecklich GmbH,35360,ORG-FG108-RIPE,Frederic Gargula,36.6,3.37e-09
59812,ORG-GG185-RIPE,Gluecklich GmbH,57777,ORG-JM162-RIPE,Jeroen Massar,36.6,3.37e-09
59891,ORG-FA509-RIPE,FSIT AG,12553,ORG-AG101-RIPE,Andreas Grawehr,36.6,3.37e-09
59891,ORG-FA509-RIPE,FSIT AG,30786,ORG-SDA47-RIPE,Swisscom Directories AG,36.6,3.37e-09
59891,ORG-FA509-RIPE,FSIT AG,31662,ORG-ACA1-RIPE,connecta ag,36.6,3.37e-09
59891,ORG-FA509-RIPE,FSIT AG,51907,ORG-KZ15-RIPE,Kanton Zug,36.6,3.37e-09
