AS1,Org1_ID,AS2,Org2_ID,Total_CO2,CO2_Normalized
58115,SWISSIX-OUTREACH SwissIX Internet Exchange,3250,NETSKIN Netskin GmbH,36.6,1.51e-10
58115,SWISSIX-OUTREACH SwissIX Internet Exchange,12347,VIRTUALTEC Virtualtec Solutions AG,36.6,1.51e-10
58115,SWISSIX-OUTREACH SwissIX Internet Exchange,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
58115,SWISSIX-OUTREACH SwissIX Internet Exchange,24585,CH-Swisslife Swiss Life AG,36.6,1.51e-10
58115,SWISSIX-OUTREACH SwissIX Internet Exchange,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
58115,SWISSIX-OUTREACH SwissIX Internet Exchange,41655,NETCLOUD Netcloud AG,36.6,1.51e-10
58115,SWISSIX-OUTREACH SwissIX Internet Exchange,57210,TK-AG thyssenkrupp Presta AG,36.6,1.51e-10
58280,STUCCHIMAX-AS Massimiliano Andrea Stucchi,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
58299,OPENFACTORY-AS Openfactory GmbH,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
58299,OPENFACTORY-AS Openfactory GmbH,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
59414,CLOUDSCALE cloudscale.ch AG,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
59414,CLOUDSCALE cloudscale.ch AG,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
59812,AS-GLUECKLICH Gluecklich GmbH,12307,RAVANA Sandro Bolliger trading as Bolliger Network Solutions,36.6,1.51e-10
59812,AS-GLUECKLICH Gluecklich GmbH,35360,GARGUNET Frederic Gargula,36.6,1.51e-10
59812,AS-GLUECKLICH Gluecklich GmbH,57777,MASSAR Jeroen Massar,36.6,1.51e-10
59891,FSIT FSIT AG,12553,GRAWEHR Andreas Grawehr,36.6,1.51e-10
59891,FSIT FSIT AG,30786,LOCAL-CH Swisscom Directories AG,36.6,1.51e-10
59891,FSIT FSIT AG,31662,KNSurselva connecta ag,36.6,1.51e-10
59891,FSIT FSIT AG,51907,CH-ZG Kanton Zug,36.6,1.51e-10
59891,FSIT FSIT AG,58280,STUCCHIMAX-AS Massimiliano Andrea Stucchi,36.6,1.51e-10
60326,MrSheepNET-AS MrSheepNET LTD,56883,AIRMASS1-AS Airmass 1 AB,36.6,1.51e-10
60326,MrSheepNET-AS MrSheepNET LTD,58280,STUCCHIMAX-AS Massimiliano Andrea Stucchi,36.6,1.51e-10
196621,FREESTONE Matthias Cramer,12350,VTX-NETWORK VTX Services SA,36.6,1.51e-10
196621,FREESTONE Matthias Cramer,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
198385,AlpineDC AlpineDC SA,15398,CYBERCORE-AS Werft22 AG,36.6,1.51e-10
198385,AlpineDC AlpineDC SA,204178,WINET Winet Voicetec Solutions AG,36.6,1.51e-10
