ASN,Organization,CO2 Emissions
264631,RED PARAGUAYA DE TELECOMUNICACIONES SA,24.86
64165,EXTRA S.A.,24.86
273063,DAHMER MARIANO ROBERTO ADRIANO,24.86
273023,ITATEC SOCIEDAD ANONIMA,24.86
267905,PERES RAMOS WILLIAN GIGABIT INTERNET,24.86
269763,JOSE MARIA DELPINOTELMIIX,24.86
267920,Saldivar Sosa Rodrigo Agustin RAYNET,24.86
267883,RODRIGUEZ PAEZ HUGO HERNAN TELNET PARAGUAY,24.86
266876,DOUGLAS BIONDO BOSCHETTITECNOPAGE,24.86
263732,PANDA CONECT S.A.,24.86
267795,PRIETO TELLES ALEXANDREF1NET TELECOM PY,24.86
262183,MULTI LINK S.A.,24.86
269878,HINET E.A.S. UNIPERSONAL,24.86
269930,CAMPOS FARIAS GUILHERME,24.86
272026,HERNAN GALEANO KIM HERKIM - SOLUCIONES TECNOLOGICAS,24.86
269932,HUGO JAVIER ROLON QUINONEZ,24.86
271969,SIMON ALBERTO KONARREUSKI MLOT,24.86
273077,GONZALEZ BERTRAND ANIBAL JOSE MARIA OVEVE NET,24.86
273876,FRETES SEGOVIA FRANCISCO JAVIER,24.86
264853,UFINET PARAGUAY S.A.,24.86
264722,Centro Nacional de Computacion,24.86
64159,IX CDE SOCIEDAD ANONIMA,24.86
273847,P.A. NETWORKS E.A.S,24.86
273095,NORTE NET E.A.S.,24.86
270096,MACHADO BAEZ,24.86
274082,ASOCIACION PARAGUAYA DE PROVEEDORES DE INTERNET Y TELECOMUNICACIONES,24.86
272099,WIRSCHKE MONGES RICARDO DANIEL,24.86
272062,TV 2 S.A.,24.86
267914,TVH S.A,24.86
267704,SAMISTRARO BAMBERG DANGELO DANIEL,24.86
265728,FLYNET SRL,24.86
267837,Vicente Sosa Peralta,24.86
269976,TV MAX CABLE S.A.,24.86
27727,Consultronic S.A.E.C.A.,24.86
269887,FRANCISCO VILLALBA SANTACRUZ PLUS.NET,24.86
264807,Datapar SA,24.86
264633,BANCO GNB PARAGUAY SOCIEDAD ANONIMA EMISORA DE CAPITAL ABIERTO,24.86
263727,Subsecretaria de Estado de Tributacion,24.86
263228,PLANET S.A.,24.86
263169,Vision Banco,24.86
52445,FINANCIERA PARAGUAYO JAPONESA S.A.,24.86
52418,NETEL S.A.,24.86
28033,Banco Familiar SAECA,24.86
23201,Telecel S.A.,24.86
267723,SOLAR BANCO S.A.E.,24.86
270029,MEGANET S.R.L.,24.86
264733,CHACO COMUNICACIONES S.A.,24.86
27795,Netvision S.A.,24.86
28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A,24.86
27895,Nucleo S.A.,24.86
266677,FILA-NET,24.86
267702,SANCHEZ ANIBAL RAMON ARSOFT INTERNET,24.86
52227,Banco Itau Paraguay S.A.,24.86
272154,DIRECCION NACIONAL DE ADUANAS,24.86
269905,COOPERATIVA COLONIZADORA MULTIACTIVA FERNHEIM LTDA,24.86
269725,ACAS TECNOLOGIAS S.A.,24.86
