ASnumber,AS_ID,AS_Organization,CO2_Intensity
135327,135327_ANACPL-AS-AP,Asianet,23.36
56196,,,23.36
56204,,,23.36
38217,,,23.36
136763,,,23.36
329265,329265_CBOE3-AS,Commercial Bank of Ethiopia,23.55
328988,328988_SAFARICOM-TEL,SAFARICOM TELECOMMUNICATIONS ETHIOPIA PLC,23.55
37467,37467_ETherNeT,Ethiopian Educational Research Network (EthERNet),23.55
329227,329227_WS-ASN,WebSprix IT Solution PLC,23.55
329327,329327_Bank-of-Abyssinia-Share-Company,Bank of Abyssinia Share Company,23.55
329226,,,23.55
24757,24757_EthioNet-AS,Ethio Telecom,23.805312
136039,136039_NANO-AS-AP,NANO,24.19
7615,7615_BTIX-AS-AP,Bhutan Internet Exchange,24.19
18024,18024_BTTELECOM-AS-AP,Bhutan Telecom Ltd,24.19
18025,18025_BTTELECOM-AS-AP,Bhutan Telecom Ltd,24.19
132232,132232_DCS-AS,Data Centre Services,24.19
132894,132894_MUD-AS-AP,Sigma Internet Service,24.19
134715,134715_GTA-AS-AP,Government Technology Agency,24.19
135666,135666_MOIC-AS-AP,Ministry of Information & Communications,24.19
138529,138529_DATANET-AS-AP,DATANET WIFI,24.19
138558,138558_GDNI-AS-AP,Gelephu Digital Network,24.19
152317,152317_WPDA-AS-AP,Wangdue Phodrang Dzongkhag Administration,24.19
153740,153740_BDB-AS-AP,Bhutan Development Bank,24.19
153779,153779_NLTANLFS-AS-AP,Nilo FiberNet,24.19
137925,137925_GIC-BHUTAN-AS-AP,GIC-Bhutan Reinsurance Co. Ltd.,24.19
140695,140695_BANKOFBHUTAN-AS-AP,Bank of Bhutan Limited,24.19
151498,151498_BPCL-AS-AP,Bhutan Power Corporation Ltd,24.19
151955,151955_DPBL-AS-AP,DRUK PNB BANK LIMITED,24.19
38004,38004_FASTLINK-ISP,FastLink ISP,24.19
137412,137412_TASHICELL-MOBILE-AS,Tashi InfoComm Limited,24.19
141680,141680_SUPERNET1-AS-AP,SuperNet Infocomm,24.19
35047,35047_AbissNet,Abissnet sh.a.,24.42
42313,42313_ONEALBANIA-AS,ONE ALBANIA SH.A.,24.42
47588,47588_TELCOMMUNICATIONS-AS,TEL COMMUNICATIONS L.L.C.,24.42
198279,198279_ATU-AL-AS,Albanian Telecommunications Union SH. P.K.,24.42
208734,208734_elsa-tech,ELSA-TECH SH.P.K.,24.42
214345,214345_technet,Tech Expert SH.P.K,24.42
50973,50973_VODAFONE-AL-ASN,Vodafone Albania Sh.A.,24.42
197706,197706_Keminet,Keminet SHPK,24.42
