as1,as2,count
12291,12306,1835
12291,12291,5505
12306,1299,3969
12306,49544,80
29571,5511,157293
29571,29571,159957
37492,5511,38402
37309,5511,1720
174,37309,3468
37309,8657,3158
3356,37468,217146
11259,37468,32745
23764,37468,96230
37468,49544,21640
3356,46606,19187
1299,46606,36239
15964,52320,7529
3356,6614,14274
6614,6614,107003
49544,6614,154
174,3479,4722
3479,49544,50
10490,3257,2533
10490,3479,2193
3479,3479,1216
1299,3479,1520
3356,3479,1121
30844,327693,13357
327693,37611,9726
327693,5713,21064
4657,48237,1123
174,4657,55360
4657,49544,2088
174,21928,15516
21928,49544,638
2497,3356,482426
1299,2497,427400
12714,31133,141299
10429,27699,34934
18734,3356,66259
13591,18734,76556
174,18734,157550
12956,18734,30474
1299,16276,13640
1299,31042,44762
1299,6400,14443
174,6400,9910
12956,6400,2279
14259,3356,71570
14117,14259,238292
12956,14259,55520
2914,4775,22254
174,4775,12811
4775,49544,5090
23520,28118,15808
27747,3356,3620
174,27747,45271
22927,27747,4242
14080,3257,231614
14080,26611,475243
11664,1299,122780
174,19037,121310
6939,9416,12540
2914,4685,10571
4685,4685,31269
2519,4685,5487
3257,58453,408456
209,22561,262855
5639,701,20956
23520,5639,24645
14522,3356,30598
14522,174,13003
12956,14522,9205
42337,49666,27686
39501,42337,28057
200612,49544,684
35807,9002,10336
200612,35807,52
47794,48237,31073
47794,47794,149766
39386,47794,12036
47794,6939,143253
47794,49544,2096
16735,6762,620581
16735,53006,3190
16735,174,62768
16735,49544,13378
19551,3257,20382
19551,7127,2266
19551,200612,4324
19551,19551,55306
19551,49544,7408
1930,21320,30543
1741,2603,17889
2611,3356,2375
174,2611,3252
2611,49544,152
1299,553,480871
49544,553,827
1299,1955,1392
1955,1955,4399
174,1955,843
1955,49544,42
1299,4637,260554
4637,4637,2227081
3257,41564,90810
37518,41564,5574
174,41564,28129
174,2018,32284
2018,2018,30604
2018,49544,858
37105,37468,5243
37105,58453,2921
3257,37468,240684
37342,6762,19498
37342,37662,45393
37100,37342,39939
2914,4651,31222
4621,4651,127373
174,4651,36013
4651,6939,641212
4651,49544,9732
48237,9930,142
6453,9930,16265
49544,9930,1804
174,703,27178
7545,9942,21026
13325,209,1868
33668,7922,58435
13325,33668,750
13325,13325,1014
4185,7018,10492
13979,4185,2099
13979,14298,2099
3356,81,31360
174,81,41130
1239,174,3618
22463,3356,3438
33490,7922,50695
22463,33490,70
22463,22463,140
3356,6079,56644
3257,6079,47726
49544,6079,1980
3257,852,360384
174,852,171266
49544,852,3062
15704,3356,57861
15704,174,41564
15704,49544,1084
48237,8220,8310
3356,8220,245983
17676,4725,56156
9416,9416,14520
2914,9924,50629
9002,9924,219990
174,9583,8181
9583,9583,13814
49544,9583,6252
7497,7497,40739
3786,38091,726419
2514,2914,30576
2514,2514,68159
2514,6453,37034
3356,9680,10164
45083,4808,17258
45083,56048,1150
38082,9587,99636
24378,9587,35859
23764,4538,252924
24157,9924,49915
24157,24157,82339
9505,9924,42323
49544,9505,1578
3215,5511,385954
30722,44957,1046
3491,9198,20927
12956,3352,196735
44244,49666,153406
49666,5511,205110
41733,9049,43523
3356,50010,30363
200612,50010,666
49544,50010,2260
137409,174,496370
137409,8529,167939
28885,8529,107260
200612,8529,3487
12713,8529,4729
197207,49666,281817
49666,57218,45669
1299,212317,23307
212317,212317,134799
31027,3356,625209
31027,44869,10217
1299,31027,543253
12552,31027,373118
39533,6762,42123
39533,39533,45677
39533,49666,122046
49666,6453,235500
216067,33891,23527
216067,49666,21170
3491,39533,140670
3257,42689,16389
42689,42689,19255
42689,49544,370
29049,3356,204871
29049,49666,1027267
12880,42337,672420
1299,213230,371
213230,213230,1678
174,213230,67
213230,49544,554
29049,57293,8890
174,29049,198782
1273,29049,71082
41689,49666,700575
41689,43754,700575
43754,49100,133955
29247,6799,6251
174,8448,1731
213155,8448,3130
213155,213155,8269
49544,8448,26
21497,3257,94686
21497,49544,658
197207,197207,48928
18106,48237,1503
18106,215859,426
215859,215859,3444
1299,215859,41
18106,6939,354433
18106,49544,501
12389,42610,22951
1554,1561,2091
1299,45102,7328
45102,9002,6782
7018,8030,14921
20115,26662,512
26662,701,1224
22390,701,1665
11351,22390,768
46003,9318,360
18126,2914,7817
18126,2519,4344
18126,2497,9598
9498,9885,219864
55824,9885,213191
45899,6453,207854
45899,49544,13087
200612,9498,5803
45899,9498,579608
45899,45899,515132
45758,48237,36
174,45758,3914
45758,49544,1341
135905,45899,190587
3,3,1601
3257,395954,10636
174,395954,17793
1299,395954,21935
12083,3356,84354
12083,3257,18058
12083,49544,1642
11232,1299,10017
11232,11232,1521
11404,3356,66974
11404,3257,50570
11404,49544,1368
3356,3737,11150
3257,3737,7178
3737,49544,206
174,21215,3375
21215,31042,1574
3257,7459,12824
49544,7459,1130
11404,8047,7902
7922,8047,14461
49544,8047,196
48237,9304,2465
17639,9304,80777
174,17639,112945
17639,6939,310284
15412,17639,9478
4780,4780,220538
4780,49544,329
45996,9318,67196
2914,4773,6290
4657,4773,1774
4773,49544,166
1299,9505,50892
18182,9505,26238
2516,6648,2315
49544,6648,393
38082,49544,3886
12389,28812,6035
15924,3257,79706
3356,35805,26526
1299,35805,34336
174,2108,868
2108,21320,1700
3356,6866,33046
174,6866,7436
49544,6866,422
34700,9002,5256
3326,34700,2178
34700,49544,58
1299,41230,4257
41230,49544,66
15924,3356,64374
1299,29518,35667
174,29518,28362
29518,49544,482
2687,3257,15311
2687,7018,41566
2687,9498,20924
139070,396982,2
139070,15169,1117
139070,139070,2256
